ENTRY	SHORT DEF	LONGER DEF	FIRST OCCURRENCE	NUM OCCURRENCES	POS
""	""	"of serpents, snaky"	"of serpents, snaky"	"891"	"1"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#0"	"15105"
"abdo abdere abdidi abditum"	"abdō abdere abdidī abditum"	"to withdraw; conceal"	"to put away, remove, set aside"	"708"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#abdo"	"1771"
"abrumpo abrumpere abrupi abruptum"	"abrumpō abrumpere abrūpī abruptum"	"to break off, sever"	"to break off, sever"	"1053"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#abrumpo"	"2603"
"absisto –ere –abstiti"	"absistō –ere –abstitī"	"to stand off or away from"	"to stand off or away from, followed by the abl., alone or with prep.; withdraw from; fly, dart from; (with infin.), desist, cease; (alone), stop, cease"	"627"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#absisto"	"3297"
"abstineo abstinere abstinui abstentus"	"abstineō abstinēre abstinuī abstentus"	"to hold back, keep away from"	"to withhold, keep away/clear; abstain, fast; refrain (from); avoid; keep hands of"	"85"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#abstineo"	"2859"
"abstraho –trahere –traxi –tractum"	"abstrahō –trahere –trāxī –tractum"	"to drag away"	"to drag away"	"311"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#abstraho"	"3211"
"absumo absumere absumpsi absumptum"	"absūmō absumere absūmpsī absūmptum"	"to reduce, consume"	"to take away, destroy"	"991"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#absumo"	"2554"
"accendo accendere accendi accensus"	"accendō accendere accendī accēnsus"	"to kindle, set on fire"	"to set on fire"	"473"	"3"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#accendo"	"1038"
"accio –ire –civi –citus"	"acciō –īre –cīvī –cītus"	"to summon"	"to summon, call (> ad and cieo)"	"278"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#accio"	"3501"
"accipiter –tris m."	"accipiter –tris m."	"hawk"	"a hawk"	"418"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#accipiter"	"5645"
"accommodo accommodare accommodavi accommodatus"	"accommodō accommodāre accommodāvī accommodātus"	"to fit one thing to another"	"to fit one thing to another; to buckle, gird (> ad and commodo)"	"642"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#accommodo"	"4475"
"acerbus –a –um"	"acerbus –a –um"	"bitter"	"bitter; harsh"	"38"	"2"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#acerbus"	"1429"
"acervus –i m."	"acervus –ī m."	"heap, pile"	"heap, pile"	"402"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#acervus"	"2718"
"actor –oris m."	"actor –ōris m."	"a performer, accuser, speaker"	"an agent, doer, performer, actor; accuser, plaintiff; speaker"	"489"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#actor"	"7186"
"actum –i n."	"āctum –ī n."	"deed, law; official record "	"deed, a transaction, law; written record, official record of (e.g.) senate proceedings"	"767"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#actum"	"5645"
"acumen acuminis n."	"acūmen acūminis n."	"point; shrewdness"	"point, sting, sharpness; mental acumen, shrewdness"	"440"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#acumen"	"4957"
"acuo –ere –ui –utus"	"acuō –ere –uī –ūtus"	"to make pointed"	"to make pointed; to sharpen, whet; stimulate, provoke; incite, rouse"	"341"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#acuo"	"3025"
"ad-augeo adaugere adauxi adauctum "	"ad-augeō adaugēre adauxī adauctum "	"to augment"	"to increase by adding, augment"	"927"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#ad-augeo"	"7186"
"aditus aditus m."	"aditus aditūs m."	"an approach, access"	"approach, access; attack; entrance; chance, opportunity, means, way; beginning"	"762"	"2"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#aditus"	"1237"
"adiuvo adiuvare adiuvi adiuvatus"	"adiuvō adiuvāre adiūvī adiūvatus"	"to help, assist, support"	"to help, aid, abet, encourage, favor; cherish, sustain; be of use, be profitable"	"263"	"3"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#adiuvo"	"1330"
"adlevo or allevo –are"	"adlēvō or allēvō –āre"	"to lift, raise up, to alleviate, comfort"	"to lift up, to raise on high, to raise, set up; to lighten, alleviate, comfort, console; diminish"	" 1044"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#adlevo"	"5645"
"admitto admittere admisi admissus"	"admittō admittere admīsī admīssus"	"to send to, admit"	"to urge on, put to a gallop; let in, admit, receive; grant, permit, let go"	"39"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#admitto"	"1351"
"admoneo admonere admonui admonitus"	"admoneō admonēre admonuī admonitus"	"to admonish, remind"	"to admonish, remind, prompt; suggest, advise, raise; persuade, urge; warn, caution"	"146"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#admoneo"	"1394"
"adoro adorare adoravi adoratus"	"adōrō adōrāre adōrāvī adōrātus"	"to pray to, venerate"	"to pray to; supplicate, worship, adore"	"573"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#adoro"	"1951"
"adsentio –ire –sensi –sensus"	"adsentiō –īre –sēnsī –sēnsus"	"to and"	"to and, more frequently, adsentior, sensus sum, 4, dep. n., to give consent; to assent, agree"	"154"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#adsentio"	"4251"
"adspiro adspirare adspiravi adspiratus"	"adspīrō adspīrāre adspīrāvī adspīrātus"	"to breathe to or upon"	"to breathe to or upon; breathe or emit fragrance; inspire; aid, favor, prosper; aspire"	"166"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#adspiro"	"3913"
"advolo advolare advolavi advolatus"	"advolō advolāre advolāvī advolātus"	"to fly to"	"to fly to, fly; hasten, run up, speed"	"413"	"2"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#advolo"	"3913"
"aequo aequare aequavi aequatus"	"aequō aequāre aequāvī aequātus"	"to make level, equalize"	"to make level, equalize"	"656"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#aequo"	"1270"
"aequoreus –a –um"	"aequoreus –a –um"	"of the sea, maritime"	"of the sea, maritime"	"81"	"1"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#aequoreus"	"6092"
"aetherius –a –um"	"aetherius –a –um"	"heavenly"	"pertaining to the upper air; ethereal, heavenly; airy (> aether)"	"86"	"4"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#aetherius"	"1859"
"affligo affligere afflixi afflictus"	"afflīgō affligere afflīxī afflīctus"	"to beat, strike, crush"	"to beat, strike, crush"	"986"	"3"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#affligo"	"2326"
"affundo affundere affudi affusum"	"affundo affundere affūdī affūsum"	"pour onto"	"to pour onto or into; sprinkle around; scatter onto; send to"	"19"	"3"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#affundo"	"5645"
"age agite"	"age agite"	"come on! Let's go!"	"onward! away! come on!"	"114"	"1"	"Interjection"	"Logeion"	"http://logeion.uchicago.edu/index.html#age"	"1994"
"agger aggeris m."	"agger aggeris m."	"mound, rampart"	"mound, rampart"	"682"	"2"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#agger"	"1503"
"ala alae f."	"āla ālae f."	"wing, armpit"	"wing, armpit"	" 795"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#ala"	"1351"
"altaria –ium n."	"altāria –ium n."	"the upper part of an altar; a high altar"	"the upper part of an altar; a high altar; an altar (> altus)"	"34"	"2"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#altaria"	"2371"
"alternus –a –um"	"alternus –a –um"	"one after the other"	"one after the other; alternating; by turns, in succession; every second (> alter)"	"601"	"3"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#alternus"	"2288"
"amarus –a –um"	"amārus –a –um"	"bitter; harsh"	"bitter; harsh"	"59"	"1"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#amarus"	"1994"
"ambio ambire or -ii ambitum"	"ambiō ambīre or -iī ambītum"	"to go round, go about"	"to go round, go about; visit (in search of support), appeal to"	" 211"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#ambio"	"8014"
"ambo ambae ambo"	"ambō ambae ambō"	"both"	"both"	"246"	"4"	"Number"	"Logeion"	"http://logeion.uchicago.edu/index.html#ambo"	"1115"
"amens amentis"	"āmēns āmentis"	"mad, insane"	"mad, insane"	" 256"	"1"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#amens"	"2477"
"amictus –us m."	"amictus –ūs m."	"veiling or draping of the person; an upper garment"	"a veiling or draping of the person; an upper garment, covering; cloak, mantle, veil (> amicio)"	"843"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#amictus"	"2780"
